Time Step,Time,EVAPOTRANS,sloth_ice_fraction_schaake,sloth_ice_fraction_xinan,sloth_smp
145,2017-01-07 01:00:00,0.000000,0.000000,0.000000,0.000000
146,2017-01-07 02:00:00,0.000000,0.000000,0.000000,0.000000
147,2017-01-07 03:00:00,0.000000,0.000000,0.000000,0.000000
148,2017-01-07 04:00:00,0.000000,0.000000,0.000000,0.000000
149,2017-01-07 05:00:00,0.000000,0.000000,0.000000,0.000000
150,2017-01-07 06:00:00,0.000000,0.000000,0.000000,0.000000
151,2017-01-07 07:00:00,0.000000,0.000000,0.000000,0.000000
152,2017-01-07 08:00:00,0.000000,0.000000,0.000000,0.000000
153,2017-01-07 09:00:00,0.000000,0.000000,0.000000,0.000000
154,2017-01-07 10:00:00,0.000000,0.000000,0.000000,0.000000
155,2017-01-07 11:00:00,0.000000,0.000000,0.000000,0.000000
156,2017-01-07 12:00:00,0.000000,0.000000,0.000000,0.000000
157,2017-01-07 13:00:00,0.000000,0.000000,0.000000,0.000000
158,2017-01-07 14:00:00,0.000000,0.000000,0.000000,0.000000
159,2017-01-07 15:00:00,0.000000,0.000000,0.000000,0.000000
160,2017-01-07 16:00:00,0.000000,0.000000,0.000000,0.000000
161,2017-01-07 17:00:00,0.000000,0.000000,0.000000,0.000000
162,2017-01-07 18:00:00,0.000000,0.000000,0.000000,0.000000
163,2017-01-07 19:00:00,0.000000,0.000000,0.000000,0.000000
164,2017-01-07 20:00:00,0.000000,0.000000,0.000000,0.000000
165,2017-01-07 21:00:00,0.000000,0.000000,0.000000,0.000000
166,2017-01-07 22:00:00,0.000000,0.000000,0.000000,0.000000
167,2017-01-07 23:00:00,0.000000,0.000000,0.000000,0.000000
168,2017-01-08 00:00:00,0.000000,0.000000,0.000000,0.000000
169,2017-01-08 01:00:00,0.000000,0.000000,0.000000,0.000000
170,2017-01-08 02:00:00,0.000000,0.000000,0.000000,0.000000
171,2017-01-08 03:00:00,0.000000,0.000000,0.000000,0.000000
172,2017-01-08 04:00:00,0.000000,0.000000,0.000000,0.000000
173,2017-01-08 05:00:00,0.000000,0.000000,0.000000,0.000000
174,2017-01-08 06:00:00,0.000000,0.000000,0.000000,0.000000
175,2017-01-08 07:00:00,0.000000,0.000000,0.000000,0.000000
176,2017-01-08 08:00:00,0.000000,0.000000,0.000000,0.000000
177,2017-01-08 09:00:00,0.000000,0.000000,0.000000,0.000000
178,2017-01-08 10:00:00,0.000000,0.000000,0.000000,0.000000
179,2017-01-08 11:00:00,0.000000,0.000000,0.000000,0.000000
180,2017-01-08 12:00:00,0.000000,0.000000,0.000000,0.000000
181,2017-01-08 13:00:00,0.000000,0.000000,0.000000,0.000000
182,2017-01-08 14:00:00,0.000000,0.000000,0.000000,0.000000
183,2017-01-08 15:00:00,0.000000,0.000000,0.000000,0.000000
184,2017-01-08 16:00:00,0.000000,0.000000,0.000000,0.000000
185,2017-01-08 17:00:00,0.000000,0.000000,0.000000,0.000000
186,2017-01-08 18:00:00,0.000000,0.000000,0.000000,0.000000
187,2017-01-08 19:00:00,0.000000,0.000000,0.000000,0.000000
188,2017-01-08 20:00:00,0.000000,0.000000,0.000000,0.000000
189,2017-01-08 21:00:00,0.000000,0.000000,0.000000,0.000000
190,2017-01-08 22:00:00,0.000000,0.000000,0.000000,0.000000
191,2017-01-08 23:00:00,0.000000,0.000000,0.000000,0.000000
192,2017-01-09 00:00:00,0.000000,0.000000,0.000000,0.000000
193,2017-01-09 01:00:00,0.000000,0.000000,0.000000,0.000000
194,2017-01-09 02:00:00,0.000000,0.000000,0.000000,0.000000
195,2017-01-09 03:00:00,0.000000,0.000000,0.000000,0.000000
196,2017-01-09 04:00:00,0.000000,0.000000,0.000000,0.000000
197,2017-01-09 05:00:00,0.000000,0.000000,0.000000,0.000000
198,2017-01-09 06:00:00,0.000000,0.000000,0.000000,0.000000
199,2017-01-09 07:00:00,0.000000,0.000000,0.000000,0.000000
200,2017-01-09 08:00:00,0.000000,0.000000,0.000000,0.000000
201,2017-01-09 09:00:00,0.000000,0.000000,0.000000,0.000000
202,2017-01-09 10:00:00,0.000000,0.000000,0.000000,0.000000
203,2017-01-09 11:00:00,0.000000,0.000000,0.000000,0.000000
204,2017-01-09 12:00:00,0.000000,0.000000,0.000000,0.000000
205,2017-01-09 13:00:00,0.000000,0.000000,0.000000,0.000000
206,2017-01-09 14:00:00,0.000000,0.000000,0.000000,0.000000
207,2017-01-09 15:00:00,0.000000,0.000000,0.000000,0.000000
208,2017-01-09 16:00:00,0.000000,0.000000,0.000000,0.000000
209,2017-01-09 17:00:00,0.000000,0.000000,0.000000,0.000000
210,2017-01-09 18:00:00,0.000000,0.000000,0.000000,0.000000
211,2017-01-09 19:00:00,0.000000,0.000000,0.000000,0.000000
212,2017-01-09 20:00:00,0.000000,0.000000,0.000000,0.000000
213,2017-01-09 21:00:00,0.000000,0.000000,0.000000,0.000000
214,2017-01-09 22:00:00,0.000000,0.000000,0.000000,0.000000
215,2017-01-09 23:00:00,0.000000,0.000000,0.000000,0.000000
216,2017-01-10 00:00:00,0.000000,0.000000,0.000000,0.000000
217,2017-01-10 01:00:00,0.000000,0.000000,0.000000,0.000000
218,2017-01-10 02:00:00,0.000000,0.000000,0.000000,0.000000
219,2017-01-10 03:00:00,0.000000,0.000000,0.000000,0.000000
220,2017-01-10 04:00:00,0.000000,0.000000,0.000000,0.000000
221,2017-01-10 05:00:00,0.000000,0.000000,0.000000,0.000000
222,2017-01-10 06:00:00,0.000000,0.000000,0.000000,0.000000
223,2017-01-10 07:00:00,0.000000,0.000000,0.000000,0.000000
224,2017-01-10 08:00:00,0.000000,0.000000,0.000000,0.000000
225,2017-01-10 09:00:00,0.000000,0.000000,0.000000,0.000000
226,2017-01-10 10:00:00,0.000000,0.000000,0.000000,0.000000
227,2017-01-10 11:00:00,0.000000,0.000000,0.000000,0.000000
228,2017-01-10 12:00:00,0.000000,0.000000,0.000000,0.000000
229,2017-01-10 13:00:00,0.000000,0.000000,0.000000,0.000000
230,2017-01-10 14:00:00,0.000000,0.000000,0.000000,0.000000
231,2017-01-10 15:00:00,0.000000,0.000000,0.000000,0.000000
232,2017-01-10 16:00:00,0.000000,0.000000,0.000000,0.000000
233,2017-01-10 17:00:00,0.000000,0.000000,0.000000,0.000000
234,2017-01-10 18:00:00,0.000000,0.000000,0.000000,0.000000
235,2017-01-10 19:00:00,0.000000,0.000000,0.000000,0.000000
236,2017-01-10 20:00:00,0.000000,0.000000,0.000000,0.000000
237,2017-01-10 21:00:00,0.000000,0.000000,0.000000,0.000000
238,2017-01-10 22:00:00,0.000000,0.000000,0.000000,0.000000
239,2017-01-10 23:00:00,0.000000,0.000000,0.000000,0.000000
240,2017-01-11 00:00:00,0.000000,0.000000,0.000000,0.000000
241,2017-01-11 01:00:00,0.000000,0.000000,0.000000,0.000000
242,2017-01-11 02:00:00,0.000000,0.000000,0.000000,0.000000
243,2017-01-11 03:00:00,0.000000,0.000000,0.000000,0.000000
244,2017-01-11 04:00:00,0.000000,0.000000,0.000000,0.000000
245,2017-01-11 05:00:00,0.000000,0.000000,0.000000,0.000000
246,2017-01-11 06:00:00,0.000000,0.000000,0.000000,0.000000
247,2017-01-11 07:00:00,0.000000,0.000000,0.000000,0.000000
248,2017-01-11 08:00:00,0.000000,0.000000,0.000000,0.000000
249,2017-01-11 09:00:00,0.000000,0.000000,0.000000,0.000000
