,time,preci,pet
2016-01-06 10:00:00,2016-01-06 10:00:00,4.7999999999999994e-05,3.095333333333334e-05
2016-01-06 11:00:00,2016-01-06 11:00:00,0.0001575333333333333,3.095333333333334e-05
2016-01-06 12:00:00,2016-01-06 12:00:00,0.00076192,3.095333333333334e-05
2016-01-06 13:00:00,2016-01-06 13:00:00,0.004225893333333333,8.175333333333331e-05
2016-01-06 14:00:00,2016-01-06 14:00:00,0.00756628,8.175333333333331e-05
2016-01-06 15:00:00,2016-01-06 15:00:00,0.003005093333333333,8.175333333333331e-05
2016-01-06 16:00:00,2016-01-06 16:00:00,0.0012095466666666667,9.037333333333333e-05
2016-01-06 17:00:00,2016-01-06 17:00:00,0.0032358399999999994,9.037333333333333e-05
2016-01-06 18:00:00,2016-01-06 18:00:00,0.0016205866666666668,9.037333333333333e-05
2016-01-06 19:00:00,2016-01-06 19:00:00,0.002169973333333333,0.0001466933333333333
2016-01-06 20:00:00,2016-01-06 20:00:00,0.0018234666666666665,0.0001466933333333333
2016-01-06 21:00:00,2016-01-06 21:00:00,0.0014080799999999997,0.0001466933333333333
2016-01-06 22:00:00,2016-01-06 22:00:00,0.002389706666666667,0.00010668
2016-01-06 23:00:00,2016-01-06 23:00:00,0.0007800933333333334,0.00010668
2016-01-07 00:00:00,2016-01-07 00:00:00,7.454666666666667e-05,0.00010668
2016-01-07 01:00:00,2016-01-07 01:00:00,0.0005436266666666667,8.858000000000001e-05
2016-01-07 02:00:00,2016-01-07 02:00:00,0.0008577600000000001,8.858000000000001e-05
2016-01-07 03:00:00,2016-01-07 03:00:00,0.0004520266666666666,8.858000000000001e-05
2016-01-07 04:00:00,2016-01-07 04:00:00,0.00015384000000000003,8.242666666666665e-05
2016-01-07 05:00:00,2016-01-07 05:00:00,0.0008192799999999998,8.242666666666665e-05
2016-01-07 06:00:00,2016-01-07 06:00:00,0.0005438133333333334,8.242666666666665e-05
2016-01-07 07:00:00,2016-01-07 07:00:00,0.00054176,7.725333333333332e-05
2016-01-07 08:00:00,2016-01-07 08:00:00,0.00042754666666666664,7.725333333333332e-05
