Date,Flow,validity
2015-10-10 09:00:00+00:00,5.7,1.0
2015-10-10 10:00:00+00:00,5.78,1.0
2015-10-10 11:00:00+00:00,5.86,1.0
2015-10-10 12:00:00+00:00,5.86,1.0
2015-10-10 13:00:00+00:00,6.02,1.0
2015-10-10 14:00:00+00:00,6.02,1.0
2015-10-10 15:00:00+00:00,6.147500000000001,1.0
2015-10-10 16:00:00+00:00,6.2325,1.0
2015-10-10 17:00:00+00:00,6.36,1.0
2015-10-10 18:00:00+00:00,6.53,1.0
2015-10-10 19:00:00+00:00,6.6575,1.0
2015-10-10 20:00:00+00:00,6.925,1.0
2015-10-10 21:00:00+00:00,7.154999999999999,1.0
2015-10-10 22:00:00+00:00,7.31,1.0
2015-10-10 23:00:00+00:00,7.63,1.0
2015-10-11 00:00:00+00:00,7.55,1.0
2015-10-11 01:00:00+00:00,7.31,1.0
2015-10-11 02:00:00+00:00,7.31,1.0
2015-10-11 03:00:00+00:00,7.31,1.0
2015-10-11 04:00:00+00:00,7.31,1.0
2015-10-11 05:00:00+00:00,7.31,1.0
2015-10-11 06:00:00+00:00,7.0775,1.0
2015-10-11 07:00:00+00:00,7.0,1.0
2015-10-11 08:00:00+00:00,6.925,1.0
2015-10-11 09:00:00+00:00,6.7,1.0
2015-10-11 10:00:00+00:00,6.615,1.0
2015-10-11 11:00:00+00:00,6.53,1.0
2015-10-11 12:00:00+00:00,6.487500000000001,1.0
2015-10-11 13:00:00+00:00,6.36,1.0
2015-10-11 14:00:00+00:00,6.36,1.0
2015-10-11 15:00:00+00:00,6.275,1.0
2015-10-11 16:00:00+00:00,6.19,1.0
2015-10-11 17:00:00+00:00,6.19,1.0
2015-10-11 18:00:00+00:00,6.19,1.0
2015-10-11 19:00:00+00:00,6.19,1.0
2015-10-11 20:00:00+00:00,6.19,1.0
2015-10-11 21:00:00+00:00,6.19,1.0
2015-10-11 22:00:00+00:00,6.19,1.0
2015-10-11 23:00:00+00:00,6.19,1.0
2015-10-12 00:00:00+00:00,6.19,1.0
2015-10-12 01:00:00+00:00,6.02,1.0
2015-10-12 02:00:00+00:00,6.02,1.0
2015-10-12 03:00:00+00:00,6.02,1.0
2015-10-12 04:00:00+00:00,6.02,1.0
2015-10-12 05:00:00+00:00,6.02,1.0
2015-10-12 06:00:00+00:00,6.02,1.0
2015-10-12 07:00:00+00:00,5.86,1.0
2015-10-12 08:00:00+00:00,5.86,1.0
2015-10-12 09:00:00+00:00,5.86,1.0
2015-10-12 10:00:00+00:00,5.86,1.0
2015-10-12 11:00:00+00:00,5.86,1.0
2015-10-12 12:00:00+00:00,5.86,1.0
2015-10-12 13:00:00+00:00,5.86,1.0
2015-10-12 14:00:00+00:00,5.86,1.0
2015-10-12 15:00:00+00:00,5.78,1.0
2015-10-12 16:00:00+00:00,5.7,1.0
